strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
ROSELLA,CBDV 30uM,1556_0_26,157,4.460095805153044,-0.40527037682186795,0.062159812838129026,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_3,207,3.032963968975197,-0.0004129670136003849,0.9832649968054373,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_33,117,2.3894312890717284,-1.4929105523223782,0.288992225977578,True,False,Lévy
ROSELLA,CBDV 30uM,1556_0_35,95,5.582139205460926,-0.10779998613971087,0.3950979783311228,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_48,63,4.238697782253662,-0.7183281921428185,0.15633132847856424,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_5,192,3.0637070526714862,-0.2058867574812382,0.6959204223084908,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_8,61,3.656608274273376,0.00011813794061765748,0.9766281150129139,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_9,115,5.926526787772678,-0.7075017833899613,0.2761826593754829,False,False,Brownian
ROSELLA,Control,1428_3_0,52,3.104778474410407,-0.6838811509790149,0.3123982316803292,False,False,Brownian
ROSELLA,Control,1428_3_14,58,6.115398002520047,-2.9483261234433984,0.01610337404034318,False,False,Brownian
ROSELLA,Control,1428_3_15,144,3.8680587785652203,-0.037601199280268754,0.09686239356376734,False,False,Brownian
ROSELLA,Control,1428_3_16,217,3.124053116473347,-0.0014567105655286516,0.9707047874708019,False,False,Brownian
ROSELLA,Control,1428_3_18,239,12.829099605820398,0.0025689086530986116,0.1117393039408774,False,False,Brownian
ROSELLA,Control,1428_3_2,166,3.3145673539808578,-1.3992091336823063,0.1574552014767313,False,False,Brownian
ROSELLA,Control,1428_3_20,155,10.590500913573484,-0.00898921164557795,0.704684415964346,False,False,Brownian
ROSELLA,Control,1428_3_23,60,5.103316001724905,-0.9376343014991269,0.13091279878645548,False,False,Brownian
ROSELLA,Control,1428_3_25,120,13.446894320048699,0.03130895488528074,0.5075519022645456,False,False,Brownian
ROSELLA,Control,1428_3_3,204,2.7593939371303122,-0.6004296863816885,0.49364767477411287,True,False,Lévy
ROSELLA,Control,1428_3_43,147,3.059874159740282,-0.002692282364662457,0.9615953253853189,False,False,Brownian
ROSELLA,Control,1428_3_49,90,5.9621941386261925,-0.7036786895716467,0.24294621024488428,False,False,Brownian
ROSELLA,Control,1428_3_5,227,4.001596280042551,0.008609968491669048,0.6155652561951765,False,False,Brownian
ROSELLA,Control,1428_3_53,96,3.337369915058964,0.0003137324188828283,0.9298258487930392,False,False,Brownian
ROSELLA,Control,1428_3_54,72,32.409251472337374,-0.05830928892512777,0.684977709461722,False,False,Brownian
ROSELLA,Control,1428_3_6,76,2.4484421257508577,-0.325064594985345,0.6074253426961722,True,False,Lévy
ROSELLA,Control,1428_3_8,78,2.78315711056166,-0.29322992381119906,0.5876164675922608,True,False,Lévy
ROSELLA,Control,1428_3_9,64,6.346958901754435,-0.6615714094173425,0.14795532241765028,False,False,Brownian
ROSELLA,Control,1503_1_0,182,3.529064386424594,-0.4712072854610194,0.5275615350312177,False,False,Brownian
ROSELLA,Control,1503_1_10,112,2.4737611715230963,-0.563347724052748,0.4866334838484333,True,False,Lévy
ROSELLA,Control,1503_1_112,62,4.070366447263307,-0.17918226905383072,0.7252266442311638,False,False,Brownian
ROSELLA,Control,1503_1_114,60,13.821867767953655,-0.6720894516869997,0.3104141924902365,False,False,Brownian
ROSELLA,Control,1503_1_13,131,8.558137813927928,-0.8389032356161807,0.01972894443416257,False,False,Brownian
