strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
N2,CBD 0.3uM,1623_9_9,193,3.3036865195010026,-0.7372485761349289,0.2715889474982166,False,False,Brownian
N2,CBD 0.3uM,1627_4_0,229,47.84700077952497,-1.1480250946947663,0.14057462756146746,False,False,Brownian
N2,CBD 0.3uM,1627_4_1,232,6.371513244198243,-0.10352558937706666,0.14064908379503996,False,False,Brownian
N2,CBD 0.3uM,1627_4_10,227,4.381715834336141,-1.22826008271748,0.05716383155024951,False,False,Brownian
N2,CBD 0.3uM,1627_4_11,168,2.454900979500789,-10.425206938948829,0.04518739760620992,True,False,Lévy
N2,CBD 0.3uM,1627_4_16,184,4.265479723273169,-0.09254806987069752,0.7975452724334877,False,False,Brownian
N2,CBD 0.3uM,1627_4_3,75,4.6395555735875895,-0.011081174560433782,0.9181789769618127,False,False,Brownian
N2,CBD 0.3uM,1627_4_38,101,3.169874352082456,-2.0822811144631173,0.04637496585998608,False,False,Brownian
N2,CBD 0.3uM,1627_4_4,176,10.55975849367971,0.005369234548267654,0.514408064410406,False,False,Brownian
N2,CBD 0.3uM,1627_4_5,218,9.885251492463375,-0.140336144524162,0.2241478678357468,False,False,Brownian
N2,CBD 0.3uM,1627_4_6,226,5.914010265113223,-0.39106045219169894,0.02651031780096352,False,False,Brownian
N2,CBD 0.3uM,1627_4_7,205,4.46941548449772,-0.18164261710707053,0.5548361103235953,False,False,Brownian
N2,CBD 0.3uM,1627_4_8,138,28.12933808614075,-0.6589470716614683,0.2683533883575735,False,False,Brownian
N2,CBD 0.3uM,1629_14_1,133,4.058801522530712,-0.4763356287948113,0.5034433955662143,False,False,Brownian
N2,CBD 0.3uM,1629_14_2,98,3.6106351305643756,-0.005305252354598222,0.7309710871570713,False,False,Brownian
N2,CBD 0.3uM,1629_14_30,93,8.188582791116609,-0.38050050519767903,0.10922589565458223,False,False,Brownian
N2,CBD 0.3uM,1629_14_4,185,5.9785557262173015,-0.2299039801388103,0.10345518518612022,False,False,Brownian
N2,CBD 0.3uM,1629_14_40,56,2.844187198875411,-0.012557409064476888,0.9138384983259972,True,False,Lévy
N2,CBD 0.3uM,1629_14_42,56,4.394597339763868,2.3925853861683777e-05,0.9957421426376882,False,False,Brownian
N2,CBD 0.3uM,1629_14_5,195,4.453867408967015,-0.06574984170749235,0.15356719030480329,False,False,Brownian
N2,CBD 0.3uM,1629_14_8,119,3.7280756685361562,-0.801031046502618,0.23117463258371096,False,False,Brownian
N2,CBD 0.3uM,1719_5_0,140,5.987093968505057,-2.0367940364916213,0.37856240746604874,False,False,Brownian
N2,CBD 0.3uM,1719_5_10,76,2.6218864722691766,-1.310676244571174,0.07458253041122445,True,False,Lévy
N2,CBD 0.3uM,1719_5_12,109,19.500442289046706,-19.999250223826863,4.696834207751272e-07,False,False,Brownian
N2,CBD 0.3uM,1719_5_13,131,4.146159891299358,-0.07709363882054965,0.7869216276393829,False,False,Brownian
N2,CBD 0.3uM,1719_5_14,54,6.136175449933641,-2.7245468769382795,0.14107754591757216,False,False,Brownian
N2,CBD 0.3uM,1719_5_23,104,3.7265882177053746,-0.674889228934592,0.3142309615321268,False,False,Brownian
N2,CBD 0.3uM,1719_5_27,117,4.454195135144691,-0.7909045065781831,0.23102750197696098,False,False,Brownian
N2,CBD 0.3uM,1719_5_3,87,3.4065818809080026,-0.7048945379241451,0.3103691205284862,False,False,Brownian
N2,CBD 0.3uM,1719_5_32,111,3.6756958815053506,-1.7003458668440028,0.0650127142661621,False,False,Brownian
N2,CBD 0.3uM,1719_5_35,57,5.535243402707439,-0.3409270885698551,0.0760028607615835,False,False,Brownian
N2,CBD 0.3uM,1719_5_4,221,3.6839087827525936,-0.9220529132358426,0.41280529519089004,False,False,Brownian
N2,CBD 0.3uM,1719_5_48,78,3.0498760564839933,0.007776433363030577,0.5406887158640679,False,False,Brownian
N2,CBD 0.3uM,1719_5_6,163,31.74586173946043,0.04193467590265598,0.847392883444491,False,False,Brownian
N2,CBD 0.3uM,1719_5_7,205,4.027019711547279,-0.2200520437869169,0.014276517233193134,False,False,Brownian
N2,CBD 0.3uM,1719_5_8,193,38.20785840383954,-17.794394844021845,1.2741500411197666e-12,False,False,Brownian
N2,CBD 0.3uM,1734_12_0,146,6.514331196392662,0.1542131800357609,0.0006237395281562766,False,True,Brownian
N2,CBD 0.3uM,1734_12_1,156,3.179781684454605,-8.228910240703321,0.01757499745237992,False,False,Brownian
N2,CBD 0.3uM,1734_12_10,87,2.1361868205503125,-0.21758588412991386,0.6652103265467133,True,False,Lévy
N2,CBD 0.3uM,1734_12_105,95,2.413902101868514,0.000300449745539888,0.9499360029604268,True,False,Lévy
N2,CBD 0.3uM,1734_12_11,194,3.08515152129995,-0.7141688818355875,0.00012636759001108727,False,False,Brownian
N2,CBD 0.3uM,1734_12_111,70,2.535708276585658,-0.15809313205853992,0.7380698516155386,True,False,Lévy
N2,CBD 0.3uM,1734_12_134,58,3.2354307787303567,-0.15570525934812252,0.7042156292073204,False,False,Brownian
N2,CBD 0.3uM,1734_12_135,75,4.08328289274073,0.029333554082562774,0.8295244941058062,False,False,Brownian
N2,CBD 0.3uM,1734_12_137,76,2.639556548122072,-1.2172506952666047,0.34875998354664095,True,False,Lévy
N2,CBD 0.3uM,1734_12_139,62,4.682368943391755,-0.18795006622934518,0.7033330733695973,False,False,Brownian
N2,CBD 0.3uM,1734_12_15,148,2.531298452422653,-0.20470679112855605,0.6647080618798942,True,False,Lévy
N2,CBD 0.3uM,1734_12_16,121,5.92873587200257,-0.6021070409029604,0.3108197241980327,False,False,Brownian
N2,CBD 0.3uM,1734_12_18,128,2.6172650285932106,-1.5074289870161168,0.07572198666178537,True,False,Lévy
N2,CBD 0.3uM,1734_12_19,122,3.350212901576254,-11.340881845381851,4.009714915815807e-10,False,False,Brownian
N2,CBD 0.3uM,1734_12_21,61,2.5964898769979445,-0.5245381064178072,0.5169753596051092,True,False,Lévy
N2,CBD 0.3uM,1734_12_23,169,96.2178726986716,-0.11857849664973585,0.8714066097210483,False,False,Brownian
N2,CBD 0.3uM,1734_12_25,93,2.5330236170789533,-1.6587825225696728,0.22714788842502287,True,False,Lévy
N2,CBD 0.3uM,1734_12_28,69,2.218501109053597,-0.38478371354384217,0.269837709010763,True,False,Lévy
N2,CBD 0.3uM,1734_12_30,112,8.202008914369717,-0.6548680982798509,0.2284876664504324,False,False,Brownian
N2,CBD 0.3uM,1734_12_31,50,13.73260027508684,-0.2332280497579019,0.22904447170873665,False,False,Brownian
N2,CBD 0.3uM,1734_12_34,186,3.5250376870252182,-0.04800178259127008,0.1732905132603214,False,False,Brownian
N2,CBD 0.3uM,1734_12_4,182,275.5889791852224,-0.7890372183454457,0.26367335224766675,False,False,Brownian
N2,CBD 0.3uM,1734_12_5,217,2.2650978048487174,-11.639972927484905,0.00948848747554652,True,False,Lévy
N2,CBD 0.3uM,1734_12_51,119,2.3316519934536823,0.0006862172718897774,0.9173687859339249,True,False,Lévy
N2,CBD 0.3uM,1734_12_54,74,2.9857802994687725,-0.16493649923322118,0.7057800478012823,True,False,Lévy
N2,CBD 0.3uM,1734_12_58,65,3.1588148373390905,-0.011001789057752287,0.9164316827669882,False,False,Brownian
N2,CBD 0.3uM,1734_12_7,56,5.294428399533402,-0.798713922779942,0.16083840587995302,False,False,Brownian
N2,CBD 0.3uM,1734_12_70,59,3.137078868209315,-0.4716756340999655,0.5094746135311572,False,False,Brownian
N2,CBD 0.3uM,1734_12_71,142,3.8182782697960147,-0.06095824115481174,0.8367516369760727,False,False,Brownian
N2,CBD 0.3uM,1734_12_8,92,1241.9223705444192,,,False,False,Brownian
N2,CBD 0.3uM,1734_12_96,115,2.2105117533746905,-0.21733541606949314,0.6864977040305502,True,False,Lévy
N2,CBD 0.3uM,1740_11_109,66,5.862275459334525,-5.8018639159218566e-05,0.9770472932022058,False,False,Brownian
N2,CBD 0.3uM,1740_11_12,90,6.517310046274748,-0.5276717422450724,0.10999079791272204,False,False,Brownian
N2,CBD 0.3uM,1740_11_126,52,3.9846036902251525,-0.10142587986743301,0.04278026510186237,False,False,Brownian
N2,CBD 0.3uM,1740_11_15,131,13.920751309165787,0.026657261595129267,0.9609295356606541,False,False,Brownian
N2,CBD 0.3uM,1740_11_2,71,3.057946526110354,-0.6713694735814151,0.27987961750669854,False,False,Brownian
N2,CBD 0.3uM,1740_11_25,127,2.3750050333788986,-5.3805057547868955,0.0013995519234804837,True,False,Lévy
N2,CBD 0.3uM,1740_11_28,141,3.367257893207039,-0.02138635322401261,0.8799955478108316,False,False,Brownian
N2,CBD 0.3uM,1740_11_33,170,2.5983425272582563,-0.028423752836052696,0.8713975096092373,True,False,Lévy
N2,CBD 0.3uM,1740_11_4,120,6.713521085253717,-0.6377171752075302,0.31446705555144916,False,False,Brownian
N2,CBD 0.3uM,1740_11_44,134,2.4281054542204688,-0.14910991885992164,0.12287770281958307,True,False,Lévy
N2,CBD 0.3uM,1740_11_50,133,3.7395591029643227,0.00547876086200394,0.16406003547315695,False,False,Brownian
N2,CBD 0.3uM,1740_11_65,63,2.9592726000030876,-0.11867018211098823,0.48694702006392887,True,False,Lévy
N2,CBD 0.3uM,1740_11_7,182,3.851619844234855,-0.1352651953177253,0.7177698705025364,False,False,Brownian
N2,CBD 0.3uM,1740_11_8,95,3.9488848430139853,-0.24584826208755883,0.6318885447162477,False,False,Brownian
N2,CBD 0.3uM,1740_11_86,94,11.67988947414153,-0.2220933303484549,0.3311148526621138,False,False,Brownian
N2,CBD 0.3uM,1740_11_89,69,2.4099344223598207,-0.5173708205456033,0.07146625589726319,True,False,Lévy
N2,CBD 0.3uM,1740_11_90,69,3.033960483747863,0.007668737127177673,0.0665462476850591,False,False,Brownian
N2,CBD 0.3uM,1740_11_94,72,2.6734913768815405,-0.014739030819270083,0.9087909598137015,True,False,Lévy
N2,CBD 0.3uM,1740_11_97,78,2.991308620110769,-0.9589336686782878,0.19160523726350942,True,False,Lévy
N2,CBD 0.3uM,1844_10_0,204,4.706574938737896,-1.1164854580617618,0.09194315063172903,False,False,Brownian
N2,CBD 0.3uM,1844_10_102,120,4.437301415554917,-0.606508433461326,0.4903280903762339,False,False,Brownian
N2,CBD 0.3uM,1844_10_103,151,6.8719711089936375,-0.1980821742650999,0.2167065288498703,False,False,Brownian
N2,CBD 0.3uM,1844_10_104,182,5.197412015666412,-0.0002017038391959325,0.9479163360436916,False,False,Brownian
N2,CBD 0.3uM,1844_10_108,180,2.816471632885244,-0.535046622134026,0.5522670376879284,True,False,Lévy
N2,CBD 0.3uM,1844_10_11,187,3.558458112132885,-0.06809368840140695,0.7879863341728688,False,False,Brownian
N2,CBD 0.3uM,1844_10_114,128,133.8771021344185,-0.26328272365968486,0.25022399030049425,False,False,Brownian
N2,CBD 0.3uM,1844_10_120,58,3.331410263512723,-0.007483524548598464,0.00023800406992495978,False,False,Brownian
N2,CBD 0.3uM,1844_10_13,54,37.051285675096075,0.35752893865740987,0.180809401723677,False,False,Brownian
N2,CBD 0.3uM,1844_10_131,75,2.2731975221030725,0.0007568679503803522,0.937827654986847,True,False,Lévy
N2,CBD 0.3uM,1844_10_14,198,5.013863764754308,-1.0136699949104608,0.1861472105770522,False,False,Brownian
N2,CBD 0.3uM,1844_10_148,121,7.034808625815039,-0.0076467810331489194,0.6655766289198309,False,False,Brownian
N2,CBD 0.3uM,1844_10_15,102,2.7879775464875944,-0.039543463715071336,0.8529766647470689,True,False,Lévy
N2,CBD 0.3uM,1844_10_151,118,2.8825185039500063,0.0008687017481056047,0.9144327790856739,True,False,Lévy
N2,CBD 0.3uM,1844_10_154,56,3.5373315626441983,-0.08720444493815016,0.7351993899350916,False,False,Brownian
N2,CBD 0.3uM,1844_10_155,129,5.723504313441386,-0.675239964478968,0.2054887099678544,False,False,Brownian
N2,CBD 0.3uM,1844_10_17,142,3.9639039981597586,-0.7518411108192993,0.0325677435535781,False,False,Brownian
N2,CBD 0.3uM,1844_10_175,88,4.102135889731492,0.0014384076756110975,0.43612825034487035,False,False,Brownian
N2,CBD 0.3uM,1844_10_176,79,4.046192452514475,-0.03610682991730185,0.8441819848845211,False,False,Brownian
N2,CBD 0.3uM,1844_10_179,60,2.6590153281131754,-0.5658576709674343,0.5452436518542765,True,False,Lévy
N2,CBD 0.3uM,1844_10_188,50,4.162429840812099,-0.7316655646373679,0.3039822197446358,False,False,Brownian
N2,CBD 0.3uM,1844_10_19,160,3.0387409497170044,-1.0362091891342327,0.37683095833926883,False,False,Brownian
N2,CBD 0.3uM,1844_10_2,218,8.789766988309669,-0.7076875194791193,0.1842045763830965,False,False,Brownian
N2,CBD 0.3uM,1844_10_20,214,3.7024750814692555,-0.043458054128091894,0.8287783634878747,False,False,Brownian
N2,CBD 0.3uM,1844_10_200,80,2.6929714825714783,-0.03254022501039078,0.8703547980321589,True,False,Lévy
N2,CBD 0.3uM,1844_10_202,55,3.4955359283806984,-0.1921746693711378,0.23785658858400305,False,False,Brownian
N2,CBD 0.3uM,1844_10_206,53,2.6082044142206615,-0.011689811111109227,0.6972940023287516,True,False,Lévy
N2,CBD 0.3uM,1844_10_21,175,4.435899925960186,-0.0017580743902925744,0.965013653222525,False,False,Brownian
N2,CBD 0.3uM,1844_10_22,186,3.4882428330139774,-0.004307466610462857,0.48596813664463434,False,False,Brownian
N2,CBD 0.3uM,1844_10_23,208,3.751454279945798,-0.008610237001321241,0.9284933312195608,False,False,Brownian
N2,CBD 0.3uM,1844_10_24,181,3.855959963222891,-0.2194305930485424,0.0563733056384532,False,False,Brownian
N2,CBD 0.3uM,1844_10_26,154,5.68747447672109,-0.6269245542184136,0.43316203470146064,False,False,Brownian
N2,CBD 0.3uM,1844_10_28,222,3.2209201099981803,-1.0373561619333673,0.11944026730187898,False,False,Brownian
