strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
BR5270,Control,1548_0_28,228,35.35376668163545,-2.8681892902692483,0.010964071921776045,False,False,Brownian
BR5270,Control,1548_0_29,188,9.238521247155578,0.0019963750044335593,0.9015702834357044,False,False,Brownian
BR5270,Control,1548_0_30,130,78.6779487072255,0.05192768429474759,0.003882673925835267,False,True,Brownian
BR5270,Control,1548_0_31,163,100.09886185441854,0.024459324906899838,0.7590706726726664,False,False,Brownian
BR5270,Control,1548_0_33,131,63.99768345215139,0.4797991933367314,0.018861625854080327,False,True,Brownian
BR5270,Control,1548_0_36,209,5.432322078412342,-0.08652190051289207,0.017634430087866197,False,False,Brownian
BR5270,Control,1548_0_37,72,3.4294766459022776,-0.6684231258416666,0.29565403507089005,False,False,Brownian
BR5270,Control,1548_0_4,122,27.057668914195116,-0.3135714507800218,0.3229411371973817,False,False,Brownian
BR5270,Control,1548_0_40,96,18.778222993970235,0.018940643414955605,0.00011332412964958327,False,True,Brownian
BR5270,Control,1548_0_41,100,4.551963264671201,-0.18497185142482364,0.6761353780320576,False,False,Brownian
BR5270,Control,1548_0_42,157,2.6290870903820434,-0.007019057471961965,0.39433189741276753,True,False,Lévy
BR5270,Control,1548_0_43,107,430.34678939383105,,,False,False,Brownian
BR5270,Control,1548_0_45,99,591.985899336043,,,False,False,Brownian
BR5270,Control,1548_0_5,130,5.91143653038811,-0.029574061916564087,0.11016180236995163,False,False,Brownian
BR5270,Control,1548_0_50,60,9.413629130187461,-0.6185819576577607,0.5716402135345247,False,False,Brownian
BR5270,Control,1548_0_55,181,3.1127498684848436,-0.4315007353565514,0.5505619018624761,False,False,Brownian
BR5270,Control,1548_0_56,62,60.63139502341048,-2.70912839518986,0.022957540992311926,False,False,Brownian
BR5270,Control,1548_0_8,108,3.690731475173528,-0.6976382602654875,0.28549507723220957,False,False,Brownian
BR5270,Control,1548_0_84,150,2.6933718584167727,-0.10777660001018718,0.751029525863731,True,False,Lévy
BR5270,Control,1548_0_99,119,4.008820972246096,-3.597826442676267,2.4433620790243458e-05,False,False,Brownian
BR5270,Control,1629_1_1,176,79.31695560475512,-0.5665683813723179,0.43811974500085493,False,False,Brownian
BR5270,Control,1629_1_10,197,3.7595098287401987,-2.9367253319456834,6.064998711488993e-05,False,False,Brownian
